Chr.c	Chr_start	Chr_end	GeneIDb	Tissue	Mean valuedParkinson	Mean valuedcontrol	Differencee(©´)	p valueg	PMID	
16	-	-	ABCA3	Brain	-	-	0.26	0.01	23907097	
14	-	-	AKAP6	Brain	-	-	0.22	0.01	23907097	
8	-	-	ARHGEF10	Brain	-	-	0.32	0.01	23907097	
5	-	-	ARSB	Brain	-	-	0.22	0.01	23907097	
2	-	-	ASAP2	Brain	-	-	0.24	0.01	23907097	
17	-	-	ATP2A3	Brain	-	-	0.24	0.01	23907097	
16	-	-	BANP	Brain	-	-	0.25	0.01	23907097	
9	-	-	BICD2	Brain	-	-	0.27	0.01	23907097	
10	-	-	C10orf46	Brain	-	-	0.22	0.01	23907097	
14	-	-	C14orf126	Brain	-	-	0.3	0.01	23907097	
2	-	-	COL6A3	Brain	-	-	0.24	0.01	23907097	
6	-	-	COQ3	Brain	-	-	0.22	0.01	23907097	
5	-	-	CPLX2	Brain	-	-	0.2	0.01	23907097	
1	-	-	CR1L	Brain	-	-	0.24	0.01	23907097	
2	-	-	CUL3	Brain	-	-	0.21	0.01	23907097	
17	-	-	DNAH9	Brain	-	-	0.22	0.01	23907097	
17	-	-	ERAL1	Brain	-	-	0.24	0.01	23907097	
4	-	-	FAT1	Brain	-	-	0.21	0.01	23907097	
1	-	-	FCRLA	Brain	-	-	0.21	0.01	23907097	
3	-	-	FHIT	Brain	-	-	0.25	0.01	23907097	
14	-	-	FLJ31306	Brain	-	-	0.24	0.01	23907097	
11	-	-	FLJ32810	Brain	-	-	0.32	0.01	23907097	
10	-	-	FLJ37201	Brain	-	-	0.25	0.01	23907097	
7	-	-	GCK	Brain	-	-	0.22	0.01	23907097	
5	-	-	GFPT2	Brain	-	-	0.32	0.01	23907097	
5	-	-	GFPT2	Brain	-	-	0.26	0.01	23907097	
5	-	-	GFPT2	Brain	-	-	0.28	0.01	23907097	
5	-	-	GFPT2	Brain	-	-	0.31	0.01	23907097	
22	-	-	GSTTP1	Brain	-	-	0.22	0.01	23907097	
22	-	-	GSTTP2	Brain	-	-	0.22	0.01	23907097	
6	-	-	HLA-DPB2	Brain	-	-	0.27	0.01	23907097	
6	-	-	HLA-DQA1	Brain	-	-	0.44	0.01	23907097	
6	-	-	HLA-DQA1	Brain	-	-	0.21	0.01	23907097	
6	-	-	HLA-DQB1	Brain	-	-	0.22	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	0.22	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	0.35	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	0.22	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	0.22	0.01	23907097	
6	-	-	HLA-DRB1	Brain	-	-	0.26	0.01	23907097	
6	-	-	HLA-DRB5	Brain	-	-	0.27	0.01	23907097	
6	-	-	HLA-DRB5	Brain	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB5	Brain	-	-	0.34	0.01	23907097	
6	-	-	HLA-DRB6	Brain	-	-	0.21	0.01	23907097	
6	-	-	HLA-DRB6	Brain	-	-	0.23	0.01	23907097	
6	-	-	HLA-DRB6	Brain	-	-	0.28	0.01	23907097	
3	-	-	ITPR1	Brain	-	-	0.21	0.01	23907097	
16	-	-	KCTD5	Brain	-	-	0.43	0.01	23907097	
15	-	-	LASS3	Brain	-	-	0.23	0.01	23907097	
2	-	-	LIMS1	Brain	-	-	0.21	0.01	23907097	
11	-	-	LOC283267	Brain	-	-	0.38	0.01	23907097	
15	-	-	LRRK1	Brain	-	-	0.29	0.01	23907097	
11	-	-	MAML2	Brain	-	-	0.2	0.01	23907097	
17	-	-	MAPT	Brain	-	-	0.24	0.01	23907097	
17	-	-	MAPT	Brain	-	-	0.25	0.01	23907097	
1	-	-	MMEL1	Brain	-	-	0.28	0.01	23907097	
6	-	-	MOG	Brain	-	-	0.36	0.01	23907097	
4	-	-	MORF4	Brain	-	-	0.23	0.01	23907097	
19	-	-	MRI1	Brain	-	-	0.26	0.01	23907097	
1	-	-	OPRD1	Brain	-	-	0.26	0.01	23907097	
1	-	-	OSBPL9	Brain	-	-	0.21	0.01	23907097	
21	-	-	PFKL	Brain	-	-	0.22	0.01	23907097	
10	-	-	PPIF	Brain	-	-	0.3	0.01	23907097	
13	-	-	PRHOXNB	Brain	-	-	0.34	0.01	23907097	
16	-	-	PRM1	Brain	-	-	0.22	0.01	23907097	
8	-	-	PVT1	Brain	-	-	0.24	0.01	23907097	
13	-	-	RASA3	Brain	-	-	0.21	0.01	23907097	
6	-	-	RNF39	Brain	-	-	0.22	0.01	23907097	
14	-	-	SERPINA9	Brain	-	-	0.2	0.01	23907097	
20	-	-	SLC12A5	Brain	-	-	0.28	0.01	23907097	
22	-	-	SMC1B	Brain	-	-	0.27	0.01	23907097	
6	-	-	TCP10L2	Brain	-	-	0.21	0.01	23907097	
17	-	-	TIMP2	Brain	-	-	0.23	0.01	23907097	
12	-	-	TMEM132B	Brain	-	-	0.21	0.01	23907097	
1	-	-	TMEM9	Brain	-	-	0.27	0.01	23907097	
20	-	-	TOX2	Brain	-	-	0.23	0.01	23907097	
7	-	-	TPK1	Brain	-	-	0.24	0.01	23907097	
22	-	-	TRABD	Brain	-	-	0.2	0.01	23907097	
6	-	-	TRIM10	Brain	-	-	0.35	0.01	23907097	
4	-	-	TRIML2	Brain	-	-	0.21	0.01	23907097	
16	-	-	USP7	Brain	-	-	0.2	0.01	23907097	
6	-	-	UST	Brain	-	-	0.27	0.01	23907097	
9	-	-	VAV2	Brain	-	-	0.37	0.01	23907097	
1	-	-	VPS72	Brain	-	-	0.25	0.01	23907097	
14	-	-	VSX2	Brain	-	-	0.24	0.01	23907097	
12	-	-	WDR66	Brain	-	-	0.24	0.01	23907097	
12	-	-	WDR66	Brain	-	-	0.2	0.01	23907097	
11	-	-	YAP1	Brain	-	-	0.21	0.01	23907097	
7	-	-	ZNF783	Brain	-	-	0.21	0.01	23907097	
6	-	-	ACAT2	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	ACAT2	PBLs	-	-	-0.2	0.01	23907097	
7	-	-	AMZ1	PBLs	-	-	-0.25	0.01	23907097	
15	-	-	ANXA2	PBLs	-	-	-0.24	0.01	23907097	
9	-	-	APBA1	PBLs	-	-	-0.28	0.01	23907097	
11	-	-	ARHGEF12	PBLs	-	-	-0.3	0.01	23907097	
13	-	-	ATP8A2	PBLs	-	-	-0.22	0.01	23907097	
20	-	-	BANF2	PBLs	-	-	-0.29	0.01	23907097	
14	-	-	C14orf119	PBLs	-	-	-0.23	0.01	23907097	
6	-	-	C6orf10	PBLs	-	-	-0.22	0.01	23907097	
1	-	-	CAPN8	PBLs	-	-	-0.31	0.01	23907097	
1	-	-	CATSPER4	PBLs	-	-	-0.21	0.01	23907097	
1	-	-	CATSPER4	PBLs	-	-	-0.23	0.01	23907097	
1	-	-	CNST	PBLs	-	-	-0.29	0.01	23907097	
7	-	-	CNTNAP2	PBLs	-	-	-0.26	0.01	23907097	
6	-	-	COL11A2	PBLs	-	-	-0.21	0.01	23907097	
19	-	-	CPAMD8	PBLs	-	-	-0.25	0.01	23907097	
2	-	-	CTLA4	PBLs	-	-	-0.2	0.01	23907097	
2	-	-	CTNNA2	PBLs	-	-	-0.23	0.01	23907097	
13	-	-	DCUN1D2	PBLs	-	-	-0.31	0.01	23907097	
7	-	-	DFNA5	PBLs	-	-	-0.23	0.01	23907097	
10	-	-	DIP2C	PBLs	-	-	-0.21	0.01	23907097	
1	-	-	DMBX1	PBLs	-	-	-0.35	0.01	23907097	
16	-	-	DNAJA3	PBLs	-	-	-0.51	0.01	23907097	
6	-	-	DSE;DSE	PBLs	-	-	-0.26	0.01	23907097	
19	-	-	EPS8L1	PBLs	-	-	-0.22	0.01	23907097	
1	-	-	FAM132A	PBLs	-	-	-0.21	0.01	23907097	
10	-	-	FAM35A	PBLs	-	-	-0.21	0.01	23907097	
14	-	-	FCF1	PBLs	-	-	-0.22	0.01	23907097	
2	-	-	FIGN	PBLs	-	-	-0.22	0.01	23907097	
7	-	-	FOXK1	PBLs	-	-	-0.34	0.01	23907097	
6	-	-	FRK	PBLs	-	-	-0.34	0.01	23907097	
1	-	-	GALNT2	PBLs	-	-	-0.24	0.01	23907097	
10	-	-	GPR123	PBLs	-	-	-0.21	0.01	23907097	
22	-	-	GSTT1	PBLs	-	-	-0.27	0.01	23907097	
22	-	-	GSTT1	PBLs	-	-	-0.21	0.01	23907097	
19	-	-	GZMM	PBLs	-	-	-0.23	0.01	23907097	
15	-	-	HCN4	PBLs	-	-	-0.2	0.01	23907097	
6	-	-	HLA-DQB1	PBLs	-	-	-0.25	0.01	23907097	
6	-	-	HLA-DQB1	PBLs	-	-	-0.3	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.44	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.35	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	HLA-DRB1	PBLs	-	-	-0.35	0.01	23907097	
6	-	-	HLA-G	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	HLA-G	PBLs	-	-	-0.23	0.01	23907097	
16	-	-	HMOX2	PBLs	-	-	-0.49	0.01	23907097	
10	-	-	JAKMIP3	PBLs	-	-	-0.28	0.01	23907097	
10	-	-	JAKMIP3	PBLs	-	-	-0.45	0.01	23907097	
1	-	-	KCNH1	PBLs	-	-	-0.27	0.01	23907097	
16	-	-	KIAA0513	PBLs	-	-	-0.28	0.01	23907097	
11	-	-	KLHL35	PBLs	-	-	-0.23	0.01	23907097	
19	-	-	LGALS7	PBLs	-	-	-0.38	0.01	23907097	
12	-	-	LOC100292680	PBLs	-	-	-0.29	0.01	23907097	
2	-	-	LOC375190	PBLs	-	-	-0.21	0.01	23907097	
22	-	-	LOC391322	PBLs	-	-	-0.33	0.01	23907097	
22	-	-	LOC391322	PBLs	-	-	-0.2	0.01	23907097	
10	-	-	LRRC27	PBLs	-	-	-0.41	0.01	23907097	
15	-	-	LRRK1	PBLs	-	-	-0.31	0.01	23907097	
7	-	-	MAGI2	PBLs	-	-	-0.23	0.01	23907097	
8	-	-	MAL2	PBLs	-	-	-0.24	0.01	23907097	
4	-	-	MAPK10	PBLs	-	-	-0.2	0.01	23907097	
5	-	-	MCC	PBLs	-	-	-0.21	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.25	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.24	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.28	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.2	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.2	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.21	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.27	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.28	0.01	23907097	
5	-	-	MIR886	PBLs	-	-	-0.23	0.01	23907097	
1	-	-	MMEL1	PBLs	-	-	-0.22	0.01	23907097	
3	-	-	MRPL3	PBLs	-	-	-0.21	0.01	23907097	
9	-	-	MRPL41	PBLs	-	-	-0.2	0.01	23907097	
8	-	-	MYOM2	PBLs	-	-	-0.2	0.01	23907097	
12	-	-	NCOR2	PBLs	-	-	-0.21	0.01	23907097	
2	-	-	NDUFA10	PBLs	-	-	-0.22	0.01	23907097	
12	-	-	NEDD1	PBLs	-	-	-0.25	0.01	23907097	
14	-	-	NPAS3	PBLs	-	-	-0.22	0.01	23907097	
1	-	-	NPHP4	PBLs	-	-	-0.25	0.01	23907097	
11	-	-	NTM	PBLs	-	-	-0.22	0.01	23907097	
6	-	-	OPRM1	PBLs	-	-	-0.28	0.01	23907097	
1	-	-	OR10K1	PBLs	-	-	-0.23	0.01	23907097	
6	-	-	OR12D3	PBLs	-	-	-0.28	0.01	23907097	
1	-	-	OR14C36	PBLs	-	-	-0.21	0.01	23907097	
1	-	-	PCSK9	PBLs	-	-	-0.23	0.01	23907097	
19	-	-	PIK3R2	PBLs	-	-	-0.22	0.01	23907097	
19	-	-	PPFIA3	PBLs	-	-	-0.21	0.01	23907097	
12	-	-	PRR4	PBLs	-	-	-0.21	0.01	23907097	
10	-	-	PWWP2B	PBLs	-	-	-0.27	0.01	23907097	
12	-	-	PYROXD1	PBLs	-	-	-0.28	0.01	23907097	
22	-	-	RAB36	PBLs	-	-	-0.22	0.01	23907097	
10	-	-	SH3PXD2A	PBLs	-	-	-0.21	0.01	23907097	
20	-	-	SLC17A9	PBLs	-	-	-0.25	0.01	23907097	
20	-	-	SLC17A9	PBLs	-	-	-0.27	0.01	23907097	
1	-	-	SLC25A24	PBLs	-	-	-0.24	0.01	23907097	
6	-	-	SMOC2	PBLs	-	-	-0.25	0.01	23907097	
1	-	-	SMYD3	PBLs	-	-	-0.27	0.01	23907097	
2	-	-	SPATS2L	PBLs	-	-	-0.26	0.01	23907097	
2	-	-	STEAP3	PBLs	-	-	-0.3	0.01	23907097	
11	-	-	STT3A	PBLs	-	-	-0.26	0.01	23907097	
13	-	-	TMCO3	PBLs	-	-	-0.2	0.01	23907097	
9	-	-	TNFSF8	PBLs	-	-	-0.22	0.01	23907097	
6	-	-	TRIM26	PBLs	-	-	-0.22	0.01	23907097	
6	-	-	TRIM27	PBLs	-	-	-0.22	0.01	23907097	
5	-	-	TRIO	PBLs	-	-	-0.2	0.01	23907097	
12	-	-	TSPAN9	PBLs	-	-	-0.33	0.01	23907097	
2	-	-	TUBA3E	PBLs	-	-	-0.21	0.01	23907097	
9	-	-	VAV2	PBLs	-	-	-0.21	0.01	23907097	
6	-	-	WDR27	PBLs	-	-	-0.23	0.01	23907097	
19	-	-	XAB2	PBLs	-	-	-0.23	0.01	23907097	
7	-	-	ZNF117	PBLs	-	-	-0.31	0.01	23907097	
17	-	-	AATF	PBLs	-	-	0.24	0.01	23907097	
16	-	-	ABCA3	PBLs	-	-	0.29	0.01	23907097	
9	-	-	ADAMTS13	PBLs	-	-	0.21	0.01	23907097	
2	-	-	AGAP1	PBLs	-	-	0.21	0.01	23907097	
4	-	-	AGPAT9	PBLs	-	-	0.21	0.01	23907097	
14	-	-	AKAP6	PBLs	-	-	0.29	0.01	23907097	
8	-	-	ARHGEF10	PBLs	-	-	0.36	0.01	23907097	
2	-	-	ASAP2	PBLs	-	-	0.26	0.01	23907097	
17	-	-	ATP2A3	PBLs	-	-	0.26	0.01	23907097	
16	-	-	BANP	PBLs	-	-	0.31	0.01	23907097	
2	-	-	BCL11A	PBLs	-	-	0.22	0.01	23907097	
9	-	-	BICD2	PBLs	-	-	0.3	0.01	23907097	
11	-	-	BRSK2	PBLs	-	-	0.2	0.01	23907097	
10	-	-	C10orf46	PBLs	-	-	0.24	0.01	23907097	
10	-	-	C10orf47	PBLs	-	-	0.24	0.01	23907097	
13	-	-	C13orf16	PBLs	-	-	0.21	0.01	23907097	
4	-	-	C1QTNF7	PBLs	-	-	0.21	0.01	23907097	
17	-	-	CCDC144NL	PBLs	-	-	0.2	0.01	23907097	
21	-	-	COL18A1	PBLs	-	-	0.22	0.01	23907097	
13	-	-	COL4A2	PBLs	-	-	0.2	0.01	23907097	
19	-	-	COL5A3	PBLs	-	-	0.2	0.01	23907097	
2	-	-	COL6A3	PBLs	-	-	0.29	0.01	23907097	
6	-	-	COQ3	PBLs	-	-	0.26	0.01	23907097	
5	-	-	CPLX2	PBLs	-	-	0.22	0.01	23907097	
1	-	-	CR1L	PBLs	-	-	0.28	0.01	23907097	
2	-	-	CUL3	PBLs	-	-	0.23	0.01	23907097	
17	-	-	DNAH9	PBLs	-	-	0.26	0.01	23907097	
17	-	-	DUSP3	PBLs	-	-	0.22	0.01	23907097	
8	-	-	EPPK1	PBLs	-	-	0.2	0.01	23907097	
17	-	-	ERAL1	PBLs	-	-	0.26	0.01	23907097	
6	-	-	EYA4	PBLs	-	-	0.21	0.01	23907097	
12	-	-	FAM101A	PBLs	-	-	0.25	0.01	23907097	
6	-	-	FARS2	PBLs	-	-	0.22	0.01	23907097	
4	-	-	FAT1	PBLs	-	-	0.26	0.01	23907097	
1	-	-	FCRLA	PBLs	-	-	0.22	0.01	23907097	
3	-	-	FHIT	PBLs	-	-	0.29	0.01	23907097	
14	-	-	FLJ31306	PBLs	-	-	0.28	0.01	23907097	
11	-	-	FLJ32810	PBLs	-	-	0.34	0.01	23907097	
10	-	-	FLJ37201	PBLs	-	-	0.29	0.01	23907097	
17	-	-	GAA	PBLs	-	-	0.21	0.01	23907097	
4	-	-	GABRA2	PBLs	-	-	0.24	0.01	23907097	
3	-	-	GAP43	PBLs	-	-	0.24	0.01	23907097	
7	-	-	GCK	PBLs	-	-	0.23	0.01	23907097	
5	-	-	GFPT2	PBLs	-	-	0.25	0.01	23907097	
5	-	-	GFPT2	PBLs	-	-	0.28	0.01	23907097	
5	-	-	GFPT2	PBLs	-	-	0.25	0.01	23907097	
5	-	-	GFPT2	PBLs	-	-	0.23	0.01	23907097	
4	-	-	GPM6A	PBLs	-	-	0.34	0.01	23907097	
2	-	-	GREB1	PBLs	-	-	0.22	0.01	23907097	
22	-	-	GSTTP1	PBLs	-	-	0.27	0.01	23907097	
22	-	-	GSTTP1	PBLs	-	-	0.25	0.01	23907097	
22	-	-	GSTTP1	PBLs	-	-	0.26	0.01	23907097	
22	-	-	GSTTP2	PBLs	-	-	0.21	0.01	23907097	
6	-	-	HCG4P6	PBLs	-	-	0.22	0.01	23907097	
6	-	-	HCG4P6	PBLs	-	-	0.27	0.01	23907097	
6	-	-	HLA-DPB2	PBLs	-	-	0.24	0.01	23907097	
6	-	-	HLA-DPB2	PBLs	-	-	0.3	0.01	23907097	
6	-	-	HLA-DPB2	PBLs	-	-	0.26	0.01	23907097	
6	-	-	HLA-DQA1	PBLs	-	-	0.22	0.01	23907097	
6	-	-	HLA-DQA1	PBLs	-	-	0.22	0.01	23907097	
